Model,Temperature,Threshold,AUC@3,AUC@5,AUC@10
Hybrid_KD+GT,0.01,0.02,31.00,83.00,100.00
Hybrid_KD+GT,0.02,0.02,37.00,93.00,99.00
Hybrid_KD+GT,0.05,0.02,31.00,84.00,100.00
Hybrid_KD+GT,0.1,0.02,33.00,78.00,94.00
Hybrid_KD+GT,0.2,0.02,0.00,0.00,0.00
Hybrid_KD+GT,0.5,0.02,0.00,0.00,0.00
Hybrid_KD+GT,1.0,0.02,0.00,0.00,0.00
CNN_KD+GT,0.01,0.02,33.00,80.00,100.00
CNN_KD+GT,0.02,0.02,30.00,79.00,98.00
CNN_KD+GT,0.05,0.02,32.00,87.00,100.00
CNN_KD+GT,0.1,0.02,43.00,80.00,98.00
CNN_KD+GT,0.2,0.02,0.00,0.00,0.00
CNN_KD+GT,0.5,0.02,0.00,0.00,0.00
CNN_KD+GT,1.0,0.02,0.00,0.00,0.00
Hybrid_GT,0.01,0.2,41.00,83.00,100.00
Hybrid_GT,0.02,0.2,52.00,93.00,100.00
Hybrid_GT,0.05,0.2,53.00,92.00,100.00
Hybrid_GT,0.1,0.2,72.00,91.00,96.00
Hybrid_GT,0.2,0.2,0.00,0.00,0.00
Hybrid_GT,0.5,0.2,0.00,0.00,0.00
Hybrid_GT,1.0,0.2,0.00,0.00,0.00
CNN_GT,0.01,0.2,26.00,78.00,100.00
CNN_GT,0.02,0.2,31.00,82.00,100.00
CNN_GT,0.05,0.2,29.00,77.00,99.00
CNN_GT,0.1,0.2,50.00,78.00,94.00
CNN_GT,0.2,0.2,0.00,0.00,0.00
CNN_GT,0.5,0.2,0.00,0.00,0.00
CNN_GT,1.0,0.2,0.00,0.00,0.00
