Model,Threshold,AUC@3,AUC@5,AUC@10,Avg_Matches
Hybrid_KD+GT,0.005,32.00,77.00,100.00,2353.7
Hybrid_KD+GT,0.01,36.00,87.00,99.00,2125.0
Hybrid_KD+GT,0.02,35.00,81.00,98.00,1505.4
Hybrid_KD+GT,0.05,49.00,82.00,95.00,512.2
Hybrid_KD+GT,0.1,25.00,47.00,69.00,76.7
Hybrid_KD+GT,0.15,2.00,6.00,17.00,8.6
Hybrid_KD+GT,0.2,0.00,0.00,0.00,0.6
Hybrid_KD+GT,0.3,0.00,0.00,0.00,0.0
Hybrid_KD+GT,0.5,0.00,0.00,0.00,0.0
CNN_KD+GT,0.005,32.00,77.00,97.00,2481.2
CNN_KD+GT,0.01,35.00,69.00,98.00,2328.5
CNN_KD+GT,0.02,45.00,83.00,100.00,2143.3
CNN_KD+GT,0.05,36.00,72.00,91.00,940.6
CNN_KD+GT,0.1,27.00,49.00,72.00,213.4
CNN_KD+GT,0.15,2.00,4.00,10.00,31.2
CNN_KD+GT,0.2,0.00,0.00,0.00,1.9
CNN_KD+GT,0.3,0.00,0.00,0.00,0.0
CNN_KD+GT,0.5,0.00,0.00,0.00,0.0
Hybrid_GT,0.005,56.00,91.00,100.00,2707.9
Hybrid_GT,0.01,54.00,89.00,100.00,2645.6
Hybrid_GT,0.02,41.00,86.00,99.00,2458.8
Hybrid_GT,0.05,55.00,95.00,99.00,1907.6
Hybrid_GT,0.1,62.00,90.00,99.00,1350.9
Hybrid_GT,0.15,68.00,90.00,96.00,887.3
Hybrid_GT,0.2,74.00,94.00,98.00,620.9
Hybrid_GT,0.3,71.00,90.00,96.00,253.7
Hybrid_GT,0.5,1.00,1.00,1.00,2.0
CNN_GT,0.005,23.00,79.00,99.00,2636.8
CNN_GT,0.01,27.00,73.00,100.00,2653.3
CNN_GT,0.02,28.00,70.00,99.00,2618.2
CNN_GT,0.05,31.00,70.00,99.00,2419.1
CNN_GT,0.1,35.00,81.00,100.00,1768.2
CNN_GT,0.15,50.00,83.00,96.00,1121.1
CNN_GT,0.2,50.00,84.00,94.00,749.3
CNN_GT,0.3,33.00,58.00,79.00,230.9
CNN_GT,0.5,0.00,0.00,1.00,1.1
